filename	lines	domain	type	project	destination	confidence	ai_hint
!!!!!!!!For the AI PM app user testing, ask claud if it’s possible….md	14	unclassified	idea		00_inbox/	MEDIUM	!!!!!!!!For the AI PM app user testing, ask claud if it’s possible…
# 16BitFit App Environment Variables.md	38	claude-mastery|design-team|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	MEDIUM	# 16BitFit App Environment Variables
# 16BitFit Design System Implementation - PHASE 1- Foundation Setup.md	273	design-team|creative-studio|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# 16BitFit Design System Implementation - PHASE 1: Foundation Setup
# 16BitFit Figma Recreation Guide.md	137	design-team|creative-studio|claude-mastery	reference	16bitfit	20_projects/prj-16bitfit/	HIGH	# 16BitFit Figma Recreation Guide
# 16BitFit MagicPath-ai Prompt Library.md	1377	creative-studio|design-team|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# 16BitFit MagicPath.ai Prompt Library
# 16BitFit-V3 UI-UX Specification.md	23	creative-studio|design-team|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# 16BitFit-V3 UI/UX Specification
# Enable the sandbox by default.md	12	claude-mastery	project-material		40_knowledge/references/	HIGH	# Enable the sandbox by default
# Google Deep Think Analysis Request - Story 1-3- HealthKit-Connect….md	242	life-systems|claude-mastery|creative-studio	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# Google Deep Think Analysis Request - Story 1.3: HealthKit/Connect…
# MISSION- GENERATE PIXEL-PERFECT UI.md	141	creative-studio|design-team|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# MISSION: GENERATE PIXEL-PERFECT UI
# Mega Prompt — 16BitFit Phaser 3 Gameplay (for Codex IDE-Cloud).md	50	creative-studio|claude-mastery|life-systems	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# Mega Prompt — 16BitFit Phaser 3 Gameplay (for Codex IDE/Cloud)
# Remove placeholder configurations.md	32	creative-studio	unknown	16bitfit	20_projects/prj-16bitfit/	MEDIUM	# Remove placeholder configurations
# Role & Mission.md	104	creative-studio|life-systems|claude-mastery	project-material	16bitfit	20_projects/prj-16bitfit/	HIGH	# Role & Mission
